hour,model_price_eur_mwh,actual_price_eur_mwh
105,93.77441860465117,82.95
106,93.77441860465117,88.82
107,93.77441860465117,81.66
108,93.77441860465117,78.39
109,93.77441860465117,68.0
110,93.77441860465117,50.64
111,93.77441860465117,49.91
112,93.77441860465117,66.3
113,93.77441860465117,65.05
114,84.35263157894737,51.28
115,84.35263157894737,36.85
116,84.35263157894737,36.8
117,84.35263157894737,34.68
118,84.35263157894737,28.14
119,84.35263157894737,27.52
120,75.90804542307693,19.26
121,75.90804542307693,11.35
122,75.90804542307693,9.2
123,75.90804542307693,10.0
124,75.90804542307693,14.81
125,75.90804542307693,23.82
126,84.35263157894737,31.72
127,84.35263157894737,41.37
128,84.35263157894737,36.36
129,84.35263157894737,34.69
130,75.90804542307693,32.83
131,75.90804542307693,31.28
132,75.90804542307693,28.6
133,75.90804542307693,25.61
134,84.35263157894737,26.32
135,84.35263157894737,26.87
136,84.35263157894737,31.66
137,84.35263157894737,31.58
138,84.35263157894737,28.74
139,84.35263157894737,26.59
140,84.35263157894737,13.82
141,84.35263157894737,26.94
142,75.90804542307693,12.99
143,75.90804542307693,19.07
144,75.90804542307693,8.71
145,75.90804542307693,8.9
146,75.90804542307693,5.01
147,75.90804542307693,5.13
148,75.90804542307693,5.8
149,84.35263157894737,48.86
150,93.77441860465117,76.83
151,93.77441860465117,85.08
152,93.77441860465117,84.24
153,93.77441860465117,75.25
154,86.41328818604651,62.8
155,86.41328818604651,62.44
156,86.41328818604651,63.9
157,93.77441860465117,72.56
158,93.77441860465117,78.11
159,93.77441860465117,79.98
160,93.77441860465117,96.03
161,93.77441860465117,101.11
162,93.77441860465117,86.21
163,93.77441860465117,78.01
164,93.77441860465117,72.45
165,84.35263157894737,72.45
166,84.35263157894737,50.04
167,84.35263157894737,71.05
168,84.35263157894737,68.01
169,84.35263157894737,63.34
170,84.35263157894737,57.01
171,84.35263157894737,66.29
172,93.77441860465117,72.07
173,93.77441860465117,82.7
174,93.77441860465117,100.73
175,100.29807692307692,128.22
176,100.29807692307692,108.18
177,100.29807692307692,94.65
178,100.29807692307692,100.01
179,100.29807692307692,89.99
180,100.29807692307692,97.2
181,100.29807692307692,110.19
182,100.29807692307692,127.8
183,100.29807692307692,135.82
184,100.29807692307692,155.46
185,100.29807692307692,149.23
186,100.29807692307692,146.48
187,100.29807692307692,136.86
188,100.29807692307692,127.86
189,100.29807692307692,115.92
190,100.29807692307692,103.59
191,100.29807692307692,101.44
192,100.29807692307692,100.0
193,100.29807692307692,98.77
194,100.29807692307692,95.22
195,100.29807692307692,98.28
196,100.29807692307692,102.65
197,100.29807692307692,133.54
198,123.90274488657839,148.8
199,123.90274488657839,164.88
200,123.90274488657839,156.15
201,123.90274488657839,147.64
202,123.90274488657839,140.21
203,123.9027448865784,128.18
204,123.9027448865784,121.15
205,123.9027448865784,123.95
206,100.29807692307692,127.53
207,100.29807692307692,123.75
208,100.29807692307692,130.91
209,100.29807692307692,134.75
210,100.29807692307692,125.44
211,100.29807692307692,119.23
212,93.77441860465117,104.99
213,93.77441860465117,101.1
214,93.77441860465117,88.19
215,93.77441860465117,84.79
216,93.77441860465117,80.23
217,93.77441860465117,71.29
218,93.77441860465117,69.05
219,93.77441860465117,69.89
220,93.77441860465117,83.9
221,93.77441860465117,99.09
222,100.29807692307692,123.92
